prime,prime_valence,target,target_valence,congruency,correct_response,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,prime_text.started,fixation.stopped,prime_text.stopped,mask_text.started,mask_text.stopped,targer_text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
sad,negative,lonely,negative,congruent,right,0,0,0,left,0,1.2181878000264987,None,0,0,0,9,0.025311400007922202,,0.019408400054089725,0.025311400007922202,0.49955600005341694,0.5330451000481844,0.5999147000256926,0.5999147000256926,0.6999970000470057,0.6999970000470057,0.6999970000470057,1.9334952000062913,left,0,1.2181878000264987,None,exp,001,2025-11-24_16h11.20.202,solo project,,2025.1.1,59.97717268881277,2025-11-24 16h11.26.777566 +0530,
hatred,negative,war,negative,congruent,right,1,1,0,left,0,0.7421618000371382,None,0,1,1,6,1.949710100016091,,1.9431676000240259,1.949710100016091,2.4330729000503197,2.4502748000086285,2.533155600016471,2.533155600016471,2.6332010000478476,2.6332010000478476,2.6332010000478476,3.383764300029725,left,0,0.7421618000371382,None,exp,001,2025-11-24_16h11.20.202,solo project,,2025.1.1,59.97717268881277,2025-11-24 16h11.26.777566 +0530,
peace,positive,lonely,negative,incongruent,left,2,2,0,left,1,0.8233977000345476,None,0,2,2,14,3.399843300052453,,3.3922865000204183,3.399843300052453,3.8831256999983452,3.899763100023847,3.9834057000116445,3.9834057000116445,4.083085300051607,4.083085300051607,4.083085300051607,4.916823500010651,left,1,0.8233977000345476,None,exp,001,2025-11-24_16h11.20.202,solo project,,2025.1.1,59.97717268881277,2025-11-24 16h11.26.777566 +0530,
sad,negative,flower,positive,incongruent,left,3,3,0,right,0,1.8543556000222452,None,0,3,3,17,4.93309850001242,,4.922600999998394,4.93309850001242,5.416553400049452,5.433070800034329,5.516714500030503,5.516714500030503,5.616420400037896,5.616420400037896,5.616420400037896,7.483812600024976,right,0,1.8543556000222452,None,exp,001,2025-11-24_16h11.20.202,solo project,,2025.1.1,59.97717268881277,2025-11-24 16h11.26.777566 +0530,
happy,positive,danger,negative,incongruent,left,4,4,0,left,1,0.6888063999940641,None,0,4,4,10,7.499855600006413,,7.491650500043761,7.499855600006413,7.983035700046457,7.999797900032718,8.082866100012325,8.082866100012325,8.183165900001768,8.183165900001768,8.183165900001768,8.883624800015241,left,1,0.6888063999940641,None,exp,001,2025-11-24_16h11.20.202,solo project,,2025.1.1,59.97717268881277,2025-11-24 16h11.26.777566 +0530,
danger,negative,warm,positive,incongruent,left,5,5,0,right,0,0.8649235000484623,None,0,5,5,19,8.900375900033396,,8.891913800034672,8.900375900033396,9.383274600026198,9.399653300002683,9.483113100053743,9.483113100053743,9.582720700011123,9.582720700011123,9.582720700011123,10.44976550003048,right,0,0.8649235000484623,None,exp,001,2025-11-24_16h11.20.202,solo project,,2025.1.1,59.97717268881277,2025-11-24 16h11.26.777566 +0530,
smile,positive,peace,positive,congruent,right,6,6,0,right,1,0.8511380999698304,None,0,6,6,1,10.466378900047857,,10.454518800019287,10.466378900047857,10.949853400001302,10.966526800009888,11.050048000004608,11.050048000004608,11.149644800054375,11.149644800054375,11.149644800054375,12.017159300041385,right,1,0.8511380999698304,None,exp,001,2025-11-24_16h11.20.202,solo project,,2025.1.1,59.97717268881277,2025-11-24 16h11.26.777566 +0530,
fear,negative,danger,negative,congruent,right,7,7,0,left,0,0.5839291999582201,None,0,7,7,8,12.033020100032445,,12.023783800017554,12.033020100032445,12.516538400028367,12.533053899998777,12.616340400010813,12.633054400037508,12.733098299999256,12.716636900033336,12.716636900033336,13.31701720005367,left,0,0.5839291999582201,None,exp,001,2025-11-24_16h11.20.202,solo project,,2025.1.1,59.97717268881277,2025-11-24 16h11.26.777566 +0530,
love,positive,sweet,positive,congruent,right,8,8,0,right,1,0.6055626000161283,None,0,8,8,3,13.332684300024994,,13.325758900027722,13.332684300024994,13.816708200029097,13.833023000042886,13.916801400016993,13.916801400016993,14.016606800025329,14.016606800025329,14.016606800025329,14.633584700000938,right,1,0.6055626000161283,None,exp,001,2025-11-24_16h11.20.202,solo project,,2025.1.1,59.97717268881277,2025-11-24 16h11.26.777566 +0530,
disgust,negative,sweet,positive,incongruent,left,9,9,0,right,0,0.6005060999887064,None,0,9,9,16,14.649696100037545,,14.639974500052631,14.649696100037545,15.133116100041661,15.149720400047954,15.233064300031401,15.233064300031401,15.333153200044762,15.333153200044762,15.333153200044762,15.950211600051261,right,0,0.6005060999887064,None,exp,001,2025-11-24_16h11.20.202,solo project,,2025.1.1,59.97717268881277,2025-11-24 16h11.26.777566 +0530,
disgust,negative,rotten,negative,congruent,right,10,10,0,left,0,0.5195793999591842,None,0,10,10,7,15.966552500030957,,15.953116900054738,15.966552500030957,16.449809100013226,16.46640200004913,16.549670800042804,16.549670800042804,16.64997010002844,16.64997010002844,16.64997010002844,17.18327220005449,left,0,0.5195793999591842,None,exp,001,2025-11-24_16h11.20.202,solo project,,2025.1.1,59.97717268881277,2025-11-24 16h11.26.777566 +0530,
angry,negative,pain,negative,congruent,right,11,11,0,left,0,0.7013054999988526,None,0,11,11,5,17.20000540005276,,17.186603800044395,17.20000540005276,17.68297700001858,17.69972170004621,17.783110600023065,17.783110600023065,17.882885200029705,17.882885200029705,17.882885200029705,18.599661300017033,left,0,0.7013054999988526,None,exp,001,2025-11-24_16h11.20.202,solo project,,2025.1.1,59.97717268881277,2025-11-24 16h11.26.777566 +0530,
smile,positive,pain,negative,incongruent,left,12,12,0,left,1,0.5358829000033438,None,0,12,12,12,18.616252200037707,,18.601378000050317,18.616252200037707,19.099869800033048,19.116394500015303,19.199644200038165,19.199644200038165,19.29983270005323,19.29983270005323,19.29983270005323,19.85056859999895,left,1,0.5358829000033438,None,exp,001,2025-11-24_16h11.20.202,solo project,,2025.1.1,59.97717268881277,2025-11-24 16h11.26.777566 +0530,
warm,positive,rotten,negative,incongruent,left,13,13,0,left,1,1.2458059000200592,None,0,13,13,13,19.86646119999932,,19.857048200035933,19.86646119999932,20.366323700000066,20.366323700000066,20.466460600029677,20.449669699999504,20.550213300040923,20.550213300040923,20.550213300040923,21.800708500028122,left,1,1.2458059000200592,None,exp,001,2025-11-24_16h11.20.202,solo project,,2025.1.1,59.97717268881277,2025-11-24 16h11.26.777566 +0530,
love,positive,war,negative,incongruent,left,14,14,0,left,1,0.5999844999751076,None,0,14,14,11,21.816232300014235,,21.807347000052687,21.816232300014235,22.31651920004515,22.31651920004515,22.41640260000713,22.41640260000713,22.516524800041225,22.516524800041225,22.516524800041225,23.133639800013043,left,1,0.5999844999751076,None,exp,001,2025-11-24_16h11.20.202,solo project,,2025.1.1,59.97717268881277,2025-11-24 16h11.26.777566 +0530,
fear,negative,joy,positive,incongruent,left,15,15,0,right,0,1.057852300000377,None,0,15,15,15,23.149855500028934,,23.142130799998995,23.149855500028934,23.632966800010763,23.650160300021525,23.733108600019477,23.733108600019477,23.83280830003787,23.83280830003787,23.83280830003787,24.900111000053585,right,0,1.057852300000377,None,exp,001,2025-11-24_16h11.20.202,solo project,,2025.1.1,59.97717268881277,2025-11-24 16h11.26.777566 +0530,
happy,positive,joy,positive,congruent,right,16,16,0,right,1,0.5110728000290692,None,0,16,16,0,24.916419700020924,,24.90387690003263,24.916419700020924,25.399716200015973,25.416317800001707,25.499714700039476,25.499714700039476,25.5994645000319,25.5994645000319,25.5994645000319,26.116904800001066,right,1,0.5110728000290692,None,exp,001,2025-11-24_16h11.20.202,solo project,,2025.1.1,59.97717268881277,2025-11-24 16h11.26.777566 +0530,
hatred,negative,peace,positive,incongruent,left,17,17,0,right,0,0.8786449999897741,None,0,17,17,18,26.13284240005305,,26.121798200008925,26.13284240005305,26.61646530003054,26.632879000040703,26.716594099998474,26.716594099998474,26.81638750003185,26.81638750003185,26.81638750003185,27.70036690001143,right,0,0.8786449999897741,None,exp,001,2025-11-24_16h11.20.202,solo project,,2025.1.1,59.97717268881277,2025-11-24 16h11.26.777566 +0530,
kind,positive,warm,positive,congruent,right,18,18,0,left,0,0.8216532000224106,None,0,18,18,2,27.71630060003372,,27.70964010001626,27.71630060003372,28.199772400024813,28.216478000045754,28.29969810001785,28.29969810001785,28.39961400005268,28.39961400005268,28.39961400005268,29.233618400001433,left,0,0.8216532000224106,None,exp,001,2025-11-24_16h11.20.202,solo project,,2025.1.1,59.97717268881277,2025-11-24 16h11.26.777566 +0530,
calm,positive,flower,positive,congruent,right,19,19,0,right,1,0.9593846999923699,None,0,19,19,4,29.249984400055837,,29.241974500007927,29.249984400055837,29.733381600002758,29.749669200042263,29.832980900013354,29.832980900013354,29.932975800009444,29.932975800009444,29.932975800009444,30.900218399998266,right,1,0.9593846999923699,None,exp,001,2025-11-24_16h11.20.202,solo project,,2025.1.1,59.97717268881277,2025-11-24 16h11.26.777566 +0530,
fear,negative,danger,negative,congruent,right,20,0,1,right,1,1.1852266000350937,None,1,0,20,8,30.91632970003411,,30.90735210001003,30.91632970003411,31.39975790004246,31.416513700038195,31.49977510003373,31.49977510003373,31.599922900029924,31.599922900029924,31.599922900029924,32.80015429999912,right,1,1.1852266000350937,None,exp,001,2025-11-24_16h11.20.202,solo project,,2025.1.1,59.97717268881277,2025-11-24 16h11.26.777566 +0530,
