prime,prime_valence,target,target_valence,congruency,correct_response,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,prime_text.started,fixation.stopped,prime_text.stopped,mask_text.started,mask_text.stopped,targer_text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
smile,positive,peace,positive,congruent,right,0,0,0,right,1,0.6838106000213884,None,0,0,0,1,0.024671000021044165,,0.021356999990530312,0.024671000021044165,0.5025997000047937,0.5361155000282452,0.6026412000064738,0.6026412000064738,0.7024629000225104,0.7024629000225104,0.7024629000225104,1.4138122000149451,right,1,0.6838106000213884,None,exp-3,001,2025-11-24_16h48.12.735,solo project,,2025.1.1,60.06438901885654,2025-11-24 16h48.23.103139 +0530,
danger,negative,warm,positive,incongruent,left,1,1,0,left,1,0.6990706999786198,None,0,1,1,19,1.4278110000304878,,1.4254588999901898,1.4278110000304878,1.9194207999971695,1.9360793000087142,2.019279000000097,2.019279000000097,2.1194139000144787,2.1194139000144787,2.1194139000144787,2.8209154999931343,left,1,0.6990706999786198,None,exp-3,001,2025-11-24_16h48.12.735,solo project,,2025.1.1,60.06438901885654,2025-11-24 16h48.23.103139 +0530,
fear,negative,danger,negative,congruent,right,2,2,0,left,0,0.6294267000048421,None,0,2,2,8,2.835829999996349,,2.8307582000270486,2.835829999996349,3.3360676000011154,3.3360676000011154,3.43564800004242,3.43564800004242,3.535811999987345,3.535811999987345,3.535811999987345,4.170213400037028,left,0,0.6294267000048421,None,exp-3,001,2025-11-24_16h48.12.735,solo project,,2025.1.1,60.06438901885654,2025-11-24 16h48.23.103139 +0530,
happy,positive,danger,negative,incongruent,left,3,3,0,left,1,0.7432829000172205,None,0,3,3,10,4.186072700016666,,4.1787940000067465,4.186072700016666,4.685898300027475,4.685898300027475,4.785983300011139,4.7694409000105225,4.869111200037878,4.869111200037878,4.869111200037878,5.620354300015606,left,1,0.7432829000172205,None,exp-3,001,2025-11-24_16h48.12.735,solo project,,2025.1.1,60.06438901885654,2025-11-24 16h48.23.103139 +0530,
peace,positive,lonely,negative,incongruent,left,4,4,0,right,0,1.3118710000417195,None,0,4,4,14,5.635723000043072,,5.630214900011197,5.635723000043072,6.1360334000200965,6.1360334000200965,6.2362380000413395,6.2362380000413395,6.335862900014035,6.335862900014035,6.335862900014035,7.653225400019437,right,0,1.3118710000417195,None,exp-3,001,2025-11-24_16h48.12.735,solo project,,2025.1.1,60.06438901885654,2025-11-24 16h48.23.103139 +0530,
disgust,negative,sweet,positive,incongruent,left,5,5,0,right,0,0.8389731000061147,None,0,5,5,16,7.668966400029603,,7.66067519999342,7.668966400029603,8.152451800007839,8.169126200024039,8.252816300024278,8.252816300024278,8.352548800001387,8.352548800001387,8.352548800001387,9.203838700021151,right,0,0.8389731000061147,None,exp-3,001,2025-11-24_16h48.12.735,solo project,,2025.1.1,60.06438901885654,2025-11-24 16h48.23.103139 +0530,
fear,negative,joy,positive,incongruent,left,6,6,0,right,0,0.8626181000145152,None,0,6,6,15,9.219106400036253,,9.212569800030906,9.219106400036253,9.719317300012335,9.719317300012335,9.819318800000474,9.819318800000474,9.91932960000122,9.91932960000122,9.91932960000122,10.786818000022322,right,0,0.8626181000145152,None,exp-3,001,2025-11-24_16h48.12.735,solo project,,2025.1.1,60.06438901885654,2025-11-24 16h48.23.103139 +0530,
happy,positive,joy,positive,congruent,right,7,7,0,right,1,0.8445375000010245,None,0,7,7,0,10.802685800008476,,10.791260900034104,10.802685800008476,11.302616400003899,11.302616400003899,11.402441499987617,11.402441499987617,11.502538700005971,11.502538700005971,11.502538700005971,12.352784599992447,right,1,0.8445375000010245,None,exp-3,001,2025-11-24_16h48.12.735,solo project,,2025.1.1,60.06438901885654,2025-11-24 16h48.23.103139 +0530,
sad,negative,flower,positive,incongruent,left,8,8,0,right,0,0.4793309000087902,None,0,8,8,17,12.368950400035828,,12.357450400013477,12.368950400035828,12.852478599990718,12.869164200033993,12.9525527000078,12.9525527000078,13.052483000035863,13.052483000035863,13.052483000035863,13.536351700022351,right,0,0.4793309000087902,None,exp-3,001,2025-11-24_16h48.12.735,solo project,,2025.1.1,60.06438901885654,2025-11-24 16h48.23.103139 +0530,
smile,positive,pain,negative,incongruent,left,9,9,0,left,1,0.6095217000111006,None,0,9,9,12,13.552563000004739,,13.541013700014446,13.552563000004739,14.03596990002552,14.05263680004282,14.135775800037663,14.135775800037663,14.23597229999723,14.23597229999723,14.23597229999723,14.853492300026119,left,1,0.6095217000111006,None,exp-3,001,2025-11-24_16h48.12.735,solo project,,2025.1.1,60.06438901885654,2025-11-24 16h48.23.103139 +0530,
angry,negative,pain,negative,congruent,right,10,10,0,left,0,0.7021664999774657,None,0,10,10,5,14.86906470003305,,14.858399700024165,14.86906470003305,15.352851300034672,15.369597900018562,15.45266290003201,15.45266290003201,15.55268960003741,15.56912330002524,15.56912330002524,16.286420400021598,left,0,0.7021664999774657,None,exp-3,001,2025-11-24_16h48.12.735,solo project,,2025.1.1,60.06438901885654,2025-11-24 16h48.23.103139 +0530,
love,positive,war,negative,incongruent,left,11,11,0,left,1,0.5716875999933109,None,0,11,11,11,16.30267060000915,,16.293194200028665,16.30267060000915,16.785703200032003,16.80240570002934,16.88572290004231,16.88572290004231,16.985997200012207,16.985997200012207,16.985997200012207,17.570227799995337,left,1,0.5716875999933109,None,exp-3,001,2025-11-24_16h48.12.735,solo project,,2025.1.1,60.06438901885654,2025-11-24 16h48.23.103139 +0530,
disgust,negative,rotten,negative,congruent,right,12,12,0,left,0,1.0469968999968842,None,0,12,12,7,17.58612190000713,,17.57958130002953,17.58612190000713,18.085804100031964,18.085804100031964,18.185563000035472,18.185563000035472,18.28575560002355,18.28575560002355,18.28575560002355,19.33690910000587,left,0,1.0469968999968842,None,exp-3,001,2025-11-24_16h48.12.735,solo project,,2025.1.1,60.06438901885654,2025-11-24 16h48.23.103139 +0530,
sad,negative,lonely,negative,congruent,right,13,13,0,left,0,1.697368000051938,None,0,13,13,9,19.35275499999989,,19.34569139999803,19.35275499999989,19.836519600008614,19.853086800023448,19.936124800005928,19.952864599996246,20.05262740002945,20.035920199996326,20.035920199996326,21.736800600017887,left,0,1.697368000051938,None,exp-3,001,2025-11-24_16h48.12.735,solo project,,2025.1.1,60.06438901885654,2025-11-24 16h48.23.103139 +0530,
love,positive,sweet,positive,congruent,right,14,14,0,right,1,0.5793101000017487,None,0,14,14,3,21.752376899996307,,21.741769700020086,21.752376899996307,22.235899600025732,22.253114600025583,22.33603880001465,22.352881400031038,22.452919800009113,22.435813700023573,22.435813700023573,23.02029399998719,right,1,0.5793101000017487,None,exp-3,001,2025-11-24_16h48.12.735,solo project,,2025.1.1,60.06438901885654,2025-11-24 16h48.23.103139 +0530,
kind,positive,warm,positive,congruent,right,15,15,0,right,1,0.9170620000222698,None,0,15,15,2,23.03563140000915,,23.029404900036752,23.03563140000915,23.535506099986378,23.535506099986378,23.635608500044327,23.635608500044327,23.735841799993068,23.735841799993068,23.735841799993068,24.669824000040535,right,1,0.9170620000222698,None,exp-3,001,2025-11-24_16h48.12.735,solo project,,2025.1.1,60.06438901885654,2025-11-24 16h48.23.103139 +0530,
hatred,negative,peace,positive,incongruent,left,16,16,0,right,0,0.5400818000198342,None,0,16,16,18,24.686033900012262,,24.678633200004697,24.686033900012262,25.16910550004104,25.185849500005133,25.26935090002371,25.26935090002371,25.36920940002892,25.36920940002892,25.36920940002892,25.920028000022285,right,0,0.5400818000198342,None,exp-3,001,2025-11-24_16h48.12.735,solo project,,2025.1.1,60.06438901885654,2025-11-24 16h48.23.103139 +0530,
hatred,negative,war,negative,congruent,right,17,17,0,left,0,0.6303755000117235,None,0,17,17,6,25.936200099997222,,25.924780000001192,25.936200099997222,26.419372000033036,26.435950200015213,26.519221700029448,26.519221700029448,26.618690800038166,26.618690800038166,26.618690800038166,27.252781299990602,left,0,0.6303755000117235,None,exp-3,001,2025-11-24_16h48.12.735,solo project,,2025.1.1,60.06438901885654,2025-11-24 16h48.23.103139 +0530,
warm,positive,rotten,negative,incongruent,left,18,18,0,left,1,4.075651400024071,None,0,18,18,13,27.269025999994483,,27.256810599996243,27.269025999994483,27.752946400025394,27.76942060003057,27.85279780003475,27.85279780003475,27.95238780003274,27.95238780003274,27.95238780003274,32.03645569999935,left,1,4.075651400024071,None,exp-3,001,2025-11-24_16h48.12.735,solo project,,2025.1.1,60.06438901885654,2025-11-24 16h48.23.103139 +0530,
calm,positive,flower,positive,congruent,right,19,19,0,right,1,0.5548503000172786,None,0,19,19,4,32.052828199986834,,32.045358400035184,32.052828199986834,32.53580489999149,32.55249490001006,32.63537410000572,32.63537410000572,32.735415300005116,32.75224800000433,32.75224800000433,33.319470799993724,right,1,0.5548503000172786,None,exp-3,001,2025-11-24_16h48.12.735,solo project,,2025.1.1,60.06438901885654,2025-11-24 16h48.23.103139 +0530,
