prime,prime_valence,target,target_valence,congruency,correct_response,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,prime_text.started,fixation.stopped,prime_text.stopped,mask_text.started,mask_text.stopped,targer_text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
calm,positive,flower,positive,congruent,right,0,0,0,right,1,1.4727063000318594,None,0,0,0,4,0.03251849999651313,,0.02791659999638796,0.03251849999651313,0.505377400026191,0.538734600006137,0.6054709000163712,0.6054709000163712,0.7055050000199117,0.7055050000199117,0.7055050000199117,2.2010776000097394,right,1,1.4727063000318594,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
fear,negative,danger,negative,congruent,right,1,1,0,left,0,0.8730882999952883,None,0,1,1,8,2.2109766000066884,,2.208149300015066,2.2109766000066884,2.70564550004201,2.722504800010938,2.805320700048469,2.805320700048469,2.905649300024379,2.905649300024379,2.905649300024379,3.7894821999943815,left,0,0.8730882999952883,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
love,positive,sweet,positive,congruent,right,2,2,0,right,1,1.7398986999760382,None,0,2,2,3,3.8052998000057414,,3.8003687000018544,3.8052998000057414,4.2889963000197895,4.30559300002642,4.388790900004096,4.388790900004096,4.488699500041548,4.488699500041548,4.488699500041548,6.239941700012423,right,1,1.7398986999760382,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
kind,positive,warm,positive,congruent,right,3,3,0,left,0,0.6206863999832422,None,0,3,3,2,6.257226100016851,,6.253847800020594,6.257226100016851,6.7390702000120655,6.772354100015946,6.838537400006317,6.855657200037967,6.955722700047772,6.939012799994089,6.939012799994089,7.573456200014334,left,0,0.6206863999832422,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
happy,positive,joy,positive,congruent,right,4,4,0,right,1,0.6330392999807373,None,0,4,4,0,7.596542400016915,,7.592475300014485,7.596542400016915,8.088983800029382,8.105469300004188,8.188690400042105,8.188690400042105,8.288970800000243,8.272340400028042,8.272340400028042,8.907085800019559,right,1,0.6330392999807373,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
smile,positive,pain,negative,incongruent,left,5,5,0,left,1,0.7186295000137761,None,0,5,5,12,8.92210750002414,,8.916821200051345,8.92210750002414,9.422492300043814,9.422492300043814,9.522525500040501,9.522525500040501,9.622136600024533,9.622136600024533,9.622136600024533,10.356774100044277,left,1,0.7186295000137761,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
disgust,negative,sweet,positive,incongruent,left,6,6,0,right,0,0.6385984999942593,None,0,6,6,16,10.373090100008994,,10.369270200026222,10.373090100008994,10.872664400027134,10.872664400027134,10.972393200034276,10.972393200034276,11.072131900000386,11.055616100027692,11.055616100027692,11.706729900033679,right,0,0.6385984999942593,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
fear,negative,joy,positive,incongruent,left,7,7,0,right,0,0.751737900020089,None,0,7,7,15,11.72240230004536,,11.711722200037912,11.72240230004536,12.22241650003707,12.22241650003707,12.32245800003875,12.32245800003875,12.42245890002232,12.42245890002232,12.42245890002232,13.189931000000797,right,0,0.751737900020089,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
smile,positive,peace,positive,congruent,right,8,8,0,right,1,0.6279237000271678,None,0,8,8,1,13.205605400027707,,13.198092800041195,13.205605400027707,13.688751000037882,13.70560139999725,13.788831300043967,13.788831300043967,13.88910400000168,13.88910400000168,13.88910400000168,14.523347800015472,right,1,0.6279237000271678,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
warm,positive,rotten,negative,incongruent,left,9,9,0,left,1,0.589624400017783,None,0,9,9,13,14.538983200036455,,14.532272000040393,14.538983200036455,15.039041500014719,15.039041500014719,15.13889390003169,15.13889390003169,15.238857500022277,15.222272000042722,15.222272000042722,15.822913500014693,left,1,0.589624400017783,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
peace,positive,lonely,negative,incongruent,left,10,10,0,left,1,0.8437383999698795,None,0,10,10,14,15.838777800032403,,15.833754600025713,15.838777800032403,16.322238099994138,16.338829200016335,16.422417199995834,16.422417199995834,16.522585900034755,16.522585900034755,16.522585900034755,17.37327710003592,left,1,0.8437383999698795,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
hatred,negative,peace,positive,incongruent,left,11,11,0,right,0,0.16111390001606196,None,0,11,11,18,17.38874800002668,,17.384004599996842,17.38874800002668,17.872549500025343,17.8889878000482,17.972352700016927,17.989058900042437,18.088915900036227,18.072278300009202,18.072278300009202,18.23972660000436,right,0,0.16111390001606196,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
sad,negative,lonely,negative,congruent,right,12,12,0,left,0,1.705268600024283,None,0,12,12,9,18.25549619999947,,18.249648400000297,18.25549619999947,18.73893340001814,18.75574550003512,18.838715700025205,18.838715700025205,18.939066699997056,18.939066699997056,18.939066699997056,20.655622200050857,left,0,1.705268600024283,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
angry,negative,pain,negative,congruent,right,13,13,0,left,0,0.5748227000003681,None,0,13,13,5,20.671964000037406,,20.658927400014363,20.671964000037406,21.155798899999354,21.172231700038537,21.255541699996684,21.255541699996684,21.35564110003179,21.35564110003179,21.35564110003179,21.939835000026505,left,0,0.5748227000003681,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
sad,negative,flower,positive,incongruent,left,14,14,0,right,0,0.686648899980355,None,0,14,14,17,21.95549010002287,,21.94847830000799,21.95549010002287,22.438912700046785,22.45541710004909,22.538906300032977,22.538906300032977,22.63927490002243,22.655606700049248,22.655606700049248,23.356359800032806,right,0,0.686648899980355,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
hatred,negative,war,negative,congruent,right,15,15,0,left,0,1.9864995999960229,None,0,15,15,6,23.372105500020552,,23.36518960003741,23.372105500020552,23.855863000033423,23.87227210000856,23.95561699999962,23.95561699999962,24.055775800021365,24.055775800021365,24.055775800021365,26.056502300023567,left,0,1.9864995999960229,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
love,positive,war,negative,incongruent,left,16,16,0,left,1,0.5815329000470228,None,0,16,16,11,26.072079700010363,,26.061886400042567,26.072079700010363,26.572410100023262,26.572410100023262,26.672049700049683,26.655597700038925,26.755704700015485,26.77220090001356,26.77220090001356,27.356854400015436,left,1,0.5815329000470228,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
disgust,negative,rotten,negative,congruent,right,17,17,0,left,0,2.4143736999831162,None,0,17,17,7,27.372215800045524,,27.367117200046778,27.372215800045524,27.872146100038663,27.872146100038663,27.972351300006267,27.972351300006267,28.07225120003568,28.07225120003568,28.07225120003568,30.48943080002209,left,0,2.4143736999831162,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
happy,positive,danger,negative,incongruent,left,18,18,0,left,1,1.4763747999677435,None,0,18,18,10,30.505243599996902,,30.499610500002746,30.505243599996902,30.988872400019318,31.005377500026952,31.088670300028753,31.088670300028753,31.188302399998065,31.188302399998065,31.188302399998065,32.67295470001409,left,1,1.4763747999677435,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
danger,negative,warm,positive,incongruent,left,19,19,0,right,0,0.8252669000066817,None,0,19,19,19,32.68883340002503,,32.679079100023955,32.68883340002503,33.17229430004954,33.188739600009285,33.27220860001398,33.27220860001398,33.37215110001853,33.38885750004556,33.38885750004556,34.221985700016376,right,0,0.8252669000066817,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
fear,negative,joy,positive,incongruent,left,20,0,1,right,0,2.4191705000121146,None,1,0,20,15,34.238626300008036,,34.22495380003238,34.238626300008036,34.722081100044306,34.73846020002384,34.82178090000525,34.82178090000525,34.921914500009734,34.921914500009734,34.921914500009734,37.35571750003146,right,0,2.4191705000121146,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
happy,positive,joy,positive,congruent,right,21,1,1,right,1,0.4879252000246197,None,1,1,21,0,37.41919440001948,,37.41609150002478,37.41919440001948,37.85476810002001,37.92182839999441,37.9549529000069,37.9549529000069,38.05517350003356,38.05517350003356,38.05517350003356,38.5558598000207,right,1,0.4879252000246197,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
disgust,negative,sweet,positive,incongruent,left,22,2,1,right,0,1.0540623999550007,None,1,2,22,16,38.57192970003234,,38.55930610001087,38.57192970003234,39.05521750001935,39.07170040003257,39.15501820005011,39.15501820005011,39.25526440003887,39.25526440003887,39.25526440003887,40.32265260000713,right,0,1.0540623999550007,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
kind,positive,warm,positive,congruent,right,23,3,1,left,0,0.950235900003463,None,1,3,23,2,40.33847280003829,,40.32698830001755,40.33847280003829,40.82174370001303,40.838495500036515,40.92164750001393,40.93842860002769,41.038342600048054,41.038342600048054,41.038342600048054,41.989091099996585,left,0,0.950235900003463,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
hatred,negative,war,negative,congruent,right,24,4,1,left,0,3.7897229000227526,None,1,4,24,6,42.00516230001813,,41.99386720004259,42.00516230001813,42.48829740000656,42.50497270002961,42.5883879000321,42.5883879000321,42.68824810005026,42.68824810005026,42.68824810005026,46.4897340000025,left,0,3.7897229000227526,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
angry,negative,pain,negative,congruent,right,25,5,1,left,0,1.9135418999940157,None,1,5,25,5,46.50511060003191,,46.49862250004662,46.50511060003191,47.0052537000156,47.0052537000156,47.1049614000367,47.1049614000367,47.20500980003271,47.20500980003271,47.20500980003271,49.122764600033406,left,0,1.9135418999940157,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
love,positive,sweet,positive,congruent,right,26,6,1,right,1,1.8800807999796234,None,1,6,26,3,49.138842200045474,,49.1291994000203,49.138842200045474,49.62184310000157,49.638899700017646,49.72222670004703,49.72222670004703,49.82185160001973,49.82185160001973,49.82185160001973,51.70606850000331,right,1,1.8800807999796234,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
hatred,negative,peace,positive,incongruent,left,27,7,1,right,0,2.484722699970007,None,1,7,27,18,51.721644400036894,,51.71458160004113,51.721644400036894,52.205100500024855,52.221807299996726,52.30522550002206,52.30522550002206,52.404767200001515,52.42189630004577,52.42189630004577,54.92266010004096,right,0,2.484722699970007,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
love,positive,war,negative,incongruent,left,28,8,1,left,1,0.9004031000076793,None,1,8,28,11,54.938674900040496,,54.93102670001099,54.938674900040496,55.42208370001754,55.43878540000878,55.52214559999993,55.52214559999993,55.62188700004481,55.62188700004481,55.62188700004481,56.52327070001047,left,1,0.9004031000076793,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
happy,positive,danger,negative,incongruent,left,29,9,1,left,1,0.8125649000285193,None,1,9,29,10,56.538567500014324,,56.531522800039966,56.538567500014324,57.03871460002847,57.03871460002847,57.138686200021766,57.138686200021766,57.23890160000883,57.23890160000883,57.23890160000883,58.05630530003691,left,1,0.8125649000285193,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
smile,positive,pain,negative,incongruent,left,30,10,1,left,1,0.9111427000025287,None,1,10,30,12,58.07182549999561,,58.06666970002698,58.07182549999561,58.55526670004474,58.57213350001257,58.65550890000304,58.65550890000304,58.75532670004759,58.771949400019366,58.771949400019366,59.68924010003684,left,1,0.9111427000025287,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
smile,positive,peace,positive,congruent,right,31,11,1,right,1,0.7936762000317685,None,1,11,31,1,59.705316800042056,,59.69509490003111,59.705316800042056,60.18888050003443,60.20531800005119,60.2887404000503,60.2887404000503,60.388760500005446,60.388760500005446,60.388760500005446,61.18883910001023,right,1,0.7936762000317685,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
sad,negative,flower,positive,incongruent,left,32,12,1,right,0,0.6719751000055112,None,1,12,32,17,61.20527130004484,,61.194241899996996,61.20527130004484,61.68880550004542,61.70553120004479,61.78904820000753,61.78904820000753,61.88869580003666,61.88869580003666,61.88869580003666,62.57159990002401,right,0,0.6719751000055112,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
disgust,negative,rotten,negative,congruent,right,33,13,1,left,0,1.3823290000436828,None,1,13,33,7,62.588076600048225,,62.575112999998964,62.588076600048225,63.072021200030576,63.088571200030856,63.171772100031376,63.171772100031376,63.27172990003601,63.27172990003601,63.27172990003601,64.65632870001718,left,0,1.3823290000436828,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
fear,negative,danger,negative,congruent,right,34,14,1,left,0,0.5989620999898762,None,1,14,34,8,64.67182750004577,,64.66407950001303,64.67182750004577,65.15553570003249,65.17208859999664,65.25525820004987,65.27182350005023,65.37194840004668,65.37194840004668,65.37194840004668,65.9729776000022,left,0,0.5989620999898762,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
danger,negative,warm,positive,incongruent,left,35,15,1,right,0,1.2702275000046939,None,1,15,35,19,65.9884083000361,,65.98254630004521,65.9884083000361,66.48892319999868,66.48892319999868,66.58875290001743,66.58875290001743,66.68886370002292,66.68886370002292,66.68886370002292,67.97285510000074,right,0,1.2702275000046939,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
sad,negative,lonely,negative,congruent,right,36,16,1,left,0,1.569158600002993,None,1,16,36,9,67.988357299997,,67.97802050004248,67.988357299997,68.48862800002098,68.48862800002098,68.58875920000719,68.57208150002407,68.67206549999537,68.68886759999441,68.68886759999441,70.2727480000467,left,0,1.569158600002993,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
peace,positive,lonely,negative,incongruent,left,37,17,1,left,1,0.6052559000090696,None,1,17,37,14,70.28846860001795,,70.27893030003179,70.28846860001795,70.78872910002246,70.78872910002246,70.8888353999937,70.8888353999937,70.98865579999983,70.97209700004896,70.97209700004896,71.58998440002324,left,1,0.6052559000090696,None,exp-2,001,2025-11-24_16h41.25.216,solo project,,2025.1.1,60.01720094198867,2025-11-24 16h41.37.719909 +0530,
