prime,prime_valence,target,target_valence,congruency,correct_response,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,prime_text.started,fixation.stopped,prime_text.stopped,mask_text.started,mask_text.stopped,targer_text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
warm,positive,rotten,negative,incongruent,left,0,0,0,left,1,0.965319000009913,None,0,0,0,13,0.021568599971942604,,0.01881499995943159,0.021568599971942604,0.5132081999909133,0.5298184999846853,0.6134929999825545,0.6134929999825545,0.7132418999681249,0.7132418999681249,0.7132418999681249,1.6848751999787055,left,1,0.965319000009913,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
calm,positive,flower,positive,congruent,right,1,1,0,right,1,0.8039790999609977,None,0,1,1,4,1.6963013999629766,,1.6908936999971047,1.6963013999629766,2.1967002999735996,2.1967002999735996,2.2968183999764733,2.2968183999764733,2.3965484999935143,2.3965484999935143,2.3965484999935143,3.2133397999568842,right,1,0.8039790999609977,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
kind,positive,warm,positive,congruent,right,2,2,0,right,1,0.697079700010363,None,0,2,2,2,3.229585999972187,,3.219529499998316,3.229585999972187,3.7137521999538876,3.7297958999988623,3.8132838999736123,3.8132838999736123,3.913353299954906,3.913353299954906,3.913353299954906,4.615235399978701,right,1,0.697079700010363,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
hatred,negative,peace,positive,incongruent,left,3,3,0,right,0,1.2596757000428624,None,0,3,3,18,4.629892299999483,,4.624432999989949,4.629892299999483,5.130137800006196,5.130137800006196,5.230095399951097,5.230095399951097,5.330120900005568,5.330120900005568,5.330120900005568,6.5974668999551795,right,0,1.2596757000428624,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
fear,negative,joy,positive,incongruent,left,4,4,0,right,0,0.8490039000171237,None,0,4,4,15,6.613258600002155,,6.609157399972901,6.613258600002155,7.113322499964852,7.113322499964852,7.213644300005399,7.196666300005745,7.296770999964792,7.31343039998319,7.31343039998319,8.16447999997763,right,0,0.8490039000171237,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
hatred,negative,war,negative,congruent,right,5,5,0,left,0,0.7482360000140034,None,0,5,5,6,8.179658599954564,,8.172940299962647,8.179658599954564,8.680002799956128,8.680002799956128,8.780133399995975,8.780133399995975,8.879988199973013,8.879988199973013,8.879988199973013,9.630625399993733,left,0,0.7482360000140034,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
love,positive,war,negative,incongruent,left,6,6,0,left,1,1.56066080002347,None,0,6,6,11,9.646453299967106,,9.637817999988329,9.646453299967106,10.130126599979121,10.14665569999488,10.230350499972701,10.230350499972701,10.33017559995642,10.33017559995642,10.33017559995642,11.897397399996407,left,1,1.56066080002347,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
sad,negative,flower,positive,incongruent,left,7,7,0,right,0,0.8403795000049286,None,0,7,7,17,11.913149699976202,,11.907223699963652,11.913149699976202,12.413514899963047,12.413514899963047,12.513318299956154,12.513318299956154,12.613577399984933,12.59689270000672,12.59689270000672,13.447276199993212,right,0,0.8403795000049286,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
smile,positive,peace,positive,congruent,right,8,8,0,right,1,0.8786025000154041,None,0,8,8,1,13.4634341999772,,13.454087099991739,13.4634341999772,13.946948600001633,13.963665799994487,14.04637019999791,14.04637019999791,14.146386199980043,14.146386199980043,14.146386199980043,15.03015599999344,right,1,0.8786025000154041,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
disgust,negative,sweet,positive,incongruent,left,9,9,0,right,0,0.72081100003561,None,0,9,9,16,15.046445999993011,,15.038004399975762,15.046445999993011,15.529986099980306,15.546739399957005,15.62969739997061,15.62969739997061,15.729970299988054,15.729970299988054,15.729970299988054,16.463718399987556,right,0,0.72081100003561,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
disgust,negative,rotten,negative,congruent,right,10,10,0,left,0,1.2544435000163503,None,0,10,10,7,16.479838099970948,,16.467176000005566,16.479838099970948,16.96336729999166,16.97971260000486,17.063200399978086,17.063200399978086,17.162959399982356,17.162959399982356,17.162959399982356,18.430245199997444,left,0,1.2544435000163503,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
sad,negative,lonely,negative,congruent,right,11,11,0,left,0,3.641213399998378,None,0,11,11,9,18.446419799991418,,18.435532799980137,18.446419799991418,18.929705799964722,18.946560599957593,19.02993769996101,19.02993769996101,19.129514699976426,19.129514699976426,19.129514699976426,22.78039379999973,left,0,3.641213399998378,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
smile,positive,pain,negative,incongruent,left,12,12,0,left,1,0.6967726000002585,None,0,12,12,12,22.796540199953597,,22.786608800000977,22.796540199953597,23.279576500004623,23.296498299983796,23.37974669999676,23.37974669999676,23.479557999991812,23.479557999991812,23.479557999991812,24.180212999985088,left,1,0.6967726000002585,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
happy,positive,joy,positive,congruent,right,13,13,0,right,1,0.7502978999982588,None,0,13,13,0,24.196243899990804,,24.18620539997937,24.196243899990804,24.679879000002984,24.69656119996216,24.77967640000861,24.77967640000861,24.87981149996631,24.87981149996631,24.87981149996631,25.63092329999199,right,1,0.7502978999982588,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
peace,positive,lonely,negative,incongruent,left,14,14,0,left,1,0.9241165000130422,None,0,14,14,14,25.64630899997428,,25.636257999984082,25.64630899997428,26.146579699998256,26.146579699998256,26.246523199952208,26.246523199952208,26.34633519995259,26.34633519995259,26.34633519995259,27.280752399994526,left,1,0.9241165000130422,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
angry,negative,pain,negative,congruent,right,15,15,0,left,0,2.1654456999967806,None,0,15,15,5,27.296626099967398,,27.291321799973957,27.296626099967398,27.78011950000655,27.79652909998549,27.879954999953043,27.879954999953043,27.980068499979097,27.980068499979097,27.980068499979097,30.147764099994674,left,0,2.1654456999967806,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
danger,negative,warm,positive,incongruent,left,16,16,0,right,0,0.5785440999898128,None,0,16,16,19,30.163155999965966,,30.15738649998093,30.163155999965966,30.646602799999528,30.66350369999418,30.746761499962304,30.763170999998692,30.862748399958946,30.862748399958946,30.862748399958946,31.44753010000568,right,0,0.5785440999898128,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
fear,negative,danger,negative,congruent,right,17,17,0,left,0,4.291738900006749,None,0,17,17,8,31.46312589995796,,31.455703599960543,31.46312589995796,31.96354639995843,31.96354639995843,32.06319939997047,32.06319939997047,32.16329549998045,32.16329549998045,32.16329549998045,36.46473199996399,left,0,4.291738900006749,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
happy,positive,danger,negative,incongruent,left,18,18,0,left,1,0.6082838000147603,None,0,18,18,10,36.47981940000318,,36.469820700003766,36.47981940000318,36.979905499960296,36.979905499960296,37.07982769998489,37.07982769998489,37.17980320000788,37.17980320000788,37.17980320000788,37.79811029997654,left,1,0.6082838000147603,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
love,positive,sweet,positive,congruent,right,19,19,0,right,1,2.116508699953556,None,0,19,19,3,37.81321819999721,,37.80685799999628,37.81321819999721,38.31342849996872,38.31342849996872,38.41318519995548,38.41318519995548,38.51302620000206,38.51302620000206,38.51302620000206,40.63086029997794,right,1,2.116508699953556,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
fear,negative,joy,positive,incongruent,left,20,0,1,right,0,2.78492390003521,None,1,0,20,15,40.64657589996932,,40.63834319997113,40.64657589996932,41.12989119999111,41.14648809999926,41.22967969998717,41.24642659997335,41.34667209995678,41.329868000000715,41.329868000000715,44.13113860000158,right,0,2.78492390003521,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
smile,positive,pain,negative,incongruent,left,21,1,1,left,1,1.1225575999706052,None,1,1,21,12,44.197386399959214,,44.194864099961706,44.197386399959214,44.64660879998701,44.71345229999861,44.74670099996729,44.74670099996729,44.84624659997644,44.84624659997644,44.84624659997644,45.98047899996163,left,1,1.1225575999706052,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
disgust,negative,rotten,negative,congruent,right,22,2,1,left,0,1.1056964000454172,None,1,2,22,7,45.99655879999045,,45.98822989995824,45.99655879999045,46.48015449999366,46.496577099955175,46.5798431999865,46.5798431999865,46.6797425999539,46.6797425999539,46.6797425999539,47.79738589999033,left,0,1.1056964000454172,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
kind,positive,warm,positive,congruent,right,23,3,1,right,1,2.41931199998362,None,1,3,23,2,47.81313189998036,,47.8057875999948,47.81313189998036,48.3128899000003,48.3128899000003,48.413368099951185,48.39632649999112,48.496223800000735,48.496223800000735,48.496223800000735,50.931099299981724,right,1,2.41931199998362,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
calm,positive,flower,positive,congruent,right,24,4,1,right,1,0.950824300001841,None,1,4,24,4,50.94596669997554,,50.93826949998038,50.94596669997554,51.44659219996538,51.44659219996538,51.54632419999689,51.54632419999689,51.64664429996628,51.64664429996628,51.64664429996628,52.613645699981134,right,1,0.950824300001841,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
fear,negative,danger,negative,congruent,right,25,5,1,left,0,0.9766949000186287,None,1,5,25,8,52.62995939998655,,52.62201739999,52.62995939998655,53.112801799958106,53.12996439996641,53.212852699973155,53.212852699973155,53.31309769995278,53.31309769995278,53.31309769995278,54.29706640000222,left,0,0.9766949000186287,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
danger,negative,warm,positive,incongruent,left,26,6,1,right,0,1.1223357999697328,None,1,6,26,19,54.31326909997733,,54.30304679996334,54.31326909997733,54.79649779997999,54.81305449997308,54.896419600001536,54.896419600001536,54.99616869998863,55.012872499995865,55.012872499995865,56.14696129999356,right,0,1.1223357999697328,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
happy,positive,danger,negative,incongruent,left,27,7,1,left,1,0.9966033999808133,None,1,7,27,10,56.16268179996405,,56.15854789997684,56.16268179996405,56.64659669995308,56.66282859997591,56.74646749999374,56.74646749999374,56.84644579997985,56.84644579997985,56.84644579997985,57.84711759997299,left,1,0.9966033999808133,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
sad,negative,flower,positive,incongruent,left,28,8,1,right,0,1.9096786999725737,None,1,8,28,17,57.86302349995822,,57.85596789995907,57.86302349995822,58.34631029999582,58.36318669997854,58.44661039998755,58.44661039998755,58.54669369995827,58.54669369995827,58.54669369995827,60.46336469997186,right,0,1.9096786999725737,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
happy,positive,joy,positive,congruent,right,29,9,1,right,1,1.7846281999954954,None,1,9,29,0,60.479829799965955,,60.472025399969425,60.479829799965955,60.96312480000779,60.979912899958435,61.06298649997916,61.06298649997916,61.16296799998963,61.16296799998963,61.16296799998963,62.96373429999221,right,1,1.7846281999954954,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
disgust,negative,sweet,positive,incongruent,left,30,10,1,right,0,5.2863875000039116,None,1,10,30,16,62.97947500000009,,62.9713995999773,62.97947500000009,63.4629697999917,63.47966549999546,63.562897600000724,63.562897600000724,63.66320139996242,63.66320139996242,63.66320139996242,68.96391160000348,right,0,5.2863875000039116,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
warm,positive,rotten,negative,incongruent,left,31,11,1,left,1,0.6900563999661244,None,1,11,31,13,68.97954019997269,,68.97220029996242,68.97954019997269,69.46277929999633,69.4798962000059,69.56299169996055,69.56299169996055,69.66304069996113,69.66304069996113,69.66304069996113,70.36374999996042,left,1,0.6900563999661244,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
sad,negative,lonely,negative,congruent,right,32,12,1,left,0,4.472239099966828,None,1,12,32,9,70.3792624999769,,70.37057749996893,70.3792624999769,70.86280750000151,70.87961760000326,70.96286929998314,70.96286929998314,71.06279359996552,71.06279359996552,71.06279359996552,75.54706710000755,left,0,4.472239099966828,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
love,positive,war,negative,incongruent,left,33,13,1,left,1,0.7780833000433631,None,1,13,33,11,75.56272029998945,,75.55490960000316,75.56272029998945,76.04617069999222,76.06274550000671,76.14636909996625,76.14636909996625,76.24623339995742,76.24623339995742,76.24623339995742,77.03045339998789,left,1,0.7780833000433631,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
love,positive,sweet,positive,congruent,right,34,14,1,right,1,0.626725299982354,None,1,14,34,3,77.04643459996441,,77.03662619995885,77.04643459996441,77.52986199996667,77.54623699997319,77.62964539998211,77.62964539998211,77.72947929997463,77.74641159997554,77.74641159997554,78.38096330000553,right,1,0.626725299982354,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
peace,positive,lonely,negative,incongruent,left,35,15,1,left,1,1.0138576000463217,None,1,15,35,14,78.39608189999126,,78.38926579995314,78.39608189999126,78.89634919998934,78.89634919998934,78.99626079999143,78.99626079999143,79.09668719995534,79.09668719995534,79.09668719995534,80.1137652999605,left,1,1.0138576000463217,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
hatred,negative,peace,positive,incongruent,left,36,16,1,right,0,7.161645399988629,None,1,16,36,18,80.12977110000793,,80.11979329999303,80.12977110000793,80.61268859996926,80.62955439998768,80.71296759997495,80.71296759997495,80.81297349999659,80.81297349999659,80.81297349999659,87.98049950000132,right,0,7.161645399988629,None,exp-5,001,2025-11-24_17h44.26.146,solo project,,2025.1.1,60.02822526281716,2025-11-24 17h44.42.734917 +0530,
