delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.4,1000,exp,0,0,0,space,1.1158440000144765,None,999,1,[9.90486150002107],[9.904869099962525],0,0,0,7,0.019715000060386956,,0.01468740007840097,0.019715000060386956,1.0070282000815496,1.0070282000815496,1.0243067999836057,2.134788400027901,space,1.1158440000144765,None,2.1357929999940097,2.540607566658097,2.852253400022164,2.834192299982533,2.8347527000587434,2.852253400022164,2.852253400022164,2.852253400022164,12.757376600056887,999,1,[9.90486150002107],[9.904869099962525],aj_1,001,2025-11-13_23h00.12.150,intentional_binding,,2025.1.1,59.906856848985115,2025-11-13 23h00.19.340553 +0530,
0.4,1000,exp,1,1,0,space,1.8765100999735296,None,300,1,[2.7608299999265],[2.7608417000155896],0,1,1,4,12.773156500072218,,12.75761870003771,12.773156500072218,13.756909499992616,13.756909499992616,13.774028700077906,15.640730299986899,space,1.8765100999735296,None,15.641376200015657,16.04031716665874,16.34700960002374,16.333838600083254,16.334416300058365,16.34700960002374,16.34700960002374,16.34700960002374,19.108215000014752,300,1,[2.7608299999265],[2.7608417000155896],aj_1,001,2025-11-13_23h00.12.150,intentional_binding,,2025.1.1,59.906856848985115,2025-11-13 23h00.19.340553 +0530,
0.7,1000,exp,2,2,0,space,0.16432009998243302,None,231,1,[2.1987300000619143],[2.198738200007938],0,2,2,11,19.12378170003649,,19.10849940008484,19.12378170003649,20.12377549998928,20.12377549998928,20.12377549998928,20.290575799997896,space,0.16432009998243302,None,20.291323899989948,20.990205866696,21.29183700005524,21.285942599992268,21.286285600042902,21.29183700005524,21.29183700005524,21.29183700005524,23.490867000073195,231,1,[2.1987300000619143],[2.198738200007938],aj_1,001,2025-11-13_23h00.12.150,intentional_binding,,2025.1.1,59.906856848985115,2025-11-13 23h00.19.340553 +0530,
0.7,400,unexp,3,3,0,space,0.07428190007340163,None,3453,1,[2.2143047000281513],[2.2143171000061557],0,3,3,2,23.506793900043704,,23.491102600004524,23.506793900043704,24.490200400003232,24.490200400003232,24.50664020003751,24.57386420003604,space,0.07428190007340163,None,24.574541000067256,25.27336876670985,25.59415280004032,25.576550900004804,25.57716009998694,25.59415280004032,25.59415280004032,25.59415280004032,27.808850900037214,3453,1,[2.2143047000281513],[2.2143171000061557],aj_1,001,2025-11-13_23h00.12.150,intentional_binding,,2025.1.1,59.906856848985115,2025-11-13 23h00.19.340553 +0530,
0.1,1000,exp,4,4,0,space,0.16728589998092502,None,123,1,[2.7798920000204816],[2.7799002999672666],0,4,4,3,27.823823800077662,,27.809144100057893,27.823823800077662,28.823440800071694,28.823440800071694,28.823440800071694,29.007462100009434,space,0.16728589998092502,None,29.008708400069736,29.10686746664966,29.41084160003811,29.402475200011395,29.402883399976417,29.41084160003811,29.41084160003811,29.41084160003811,32.191035800031386,123,1,[2.7798920000204816],[2.7799002999672666],aj_1,001,2025-11-13_23h00.12.150,intentional_binding,,2025.1.1,59.906856848985115,2025-11-13 23h00.19.340553 +0530,
0.7,1000,exp,5,5,0,space,0.3690404000226408,None,345,1,[1.4384377000387758],[1.4384500000160187],0,5,5,5,32.20655270002317,,32.19124770001508,32.20655270002317,33.19028680003248,33.19028680003248,33.20670340000652,33.57421069999691,space,0.3690404000226408,None,33.575257100048475,34.29006276670067,34.60256180004217,34.58556729997508,34.5861145000672,34.60256180004217,34.60256180004217,34.60256180004217,36.041412400081754,345,1,[1.4384377000387758],[1.4384500000160187],aj_1,001,2025-11-13_23h00.12.150,intentional_binding,,2025.1.1,59.906856848985115,2025-11-13 23h00.19.340553 +0530,
0.4,400,unexp,6,6,0,space,0.13294629997108132,None, 432,1,[2.00269340001978],[2.00270620000083],0,6,6,1,36.056807800079696,,36.04171270004008,36.056807800079696,37.05674780008849,37.05674780008849,37.05674780008849,37.19118880003225,space,0.13294629997108132,None,37.192431800067425,37.60701076669308,37.92135199997574,37.90729620005004,37.90787390002515,37.92135199997574,37.92135199997574,37.92135199997574,39.92445240006782, 432,1,[2.00269340001978],[2.00270620000083],aj_1,001,2025-11-13_23h00.12.150,intentional_binding,,2025.1.1,59.906856848985115,2025-11-13 23h00.19.340553 +0530,
0.1,400,unexp,7,7,0,space,0.0520447000162676,None,131,1,[2.0828671000199392],[2.0828824000200257],0,7,7,0,39.940099800005555,,39.924860000028275,39.940099800005555,40.94012120005209,40.94012120005209,40.94012120005209,41.00770419999026,space,0.0520447000162676,None,41.008755600079894,41.122965766644725,41.42477210005745,41.41256259998772,41.41322960006073,41.42477210005745,41.42477210005745,41.42477210005745,43.50797470007092,131,1,[2.0828671000199392],[2.0828824000200257],aj_1,001,2025-11-13_23h00.12.150,intentional_binding,,2025.1.1,59.906856848985115,2025-11-13 23h00.19.340553 +0530,
0.7,1000,exp,8,8,0,space,0.16704560001380742,None,556,1,[1.3205819999566302],[1.3205918000312522],0,8,8,8,43.52355380007066,,43.50830940005835,43.52355380007066,44.52331820002291,44.52331820002291,44.52331820002291,44.70716390002053,space,0.16704560001380742,None,44.7079482000554,45.422770766719864,45.737526300014,45.72256959998049,45.72363560006488,45.737526300014,45.737526300014,45.737526300014,47.05848500004504,556,1,[1.3205819999566302],[1.3205918000312522],aj_1,001,2025-11-13_23h00.12.150,intentional_binding,,2025.1.1,59.906856848985115,2025-11-13 23h00.19.340553 +0530,
0.1,1000,exp,9,9,0,space,0.05806559999473393,None,674,1,[2.428796499967575],[2.428808599943295],0,9,9,9,47.07308430003468,,47.05875710002147,47.07308430003468,48.073580100084655,48.073580100084655,48.073580100084655,48.1406170000555,space,0.05806559999473393,None,48.141714700032026,48.24002526671781,48.545538200065494,48.53602940007113,48.53650230006315,48.545538200065494,48.545538200065494,48.545538200065494,50.97466850001365,674,1,[2.428796499967575],[2.428808599943295],aj_1,001,2025-11-13_23h00.12.150,intentional_binding,,2025.1.1,59.906856848985115,2025-11-13 23h00.19.340553 +0530,
