word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thank_you_.started,text_3.started,text_3.stopped,thank_you_.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
RED,red,C,r,9,1,2,r,1,0.5990315999952145,None,2,1,9,0,9.769819399982225,,,,,9.75802389997989,9.769819399982225,10.269568999996409,10.269568999996409,10.269568999996409,10.875583800021559,r,1,0.5990315999952145,None,,,,,4,001,2025-08-26_10h01.57.254,Stroop task,,2025.1.1,60.01269868592645,2025-08-26 10h02.01.280553 +0530,
BLUE,blue,C,b,10,2,2,b,1,0.47655020002275705,None,2,2,10,3,10.88612819998525,,,,,10.879522799979895,10.88612819998525,11.385957100021187,11.385957100021187,11.385957100021187,11.87291809997987,b,1,0.47655020002275705,None,,,,,4,001,2025-08-26_10h01.57.254,Stroop task,,2025.1.1,60.01269868592645,2025-08-26 10h02.01.280553 +0530,
BLUE,red,I,r,11,3,2,r,1,0.4259470999822952,None,2,3,11,2,11.885956100013573,,,,,11.873409699997865,11.885956100013573,12.386101300013252,12.386101300013252,12.386101300013252,12.823089200013783,r,1,0.4259470999822952,None,,,,,4,001,2025-08-26_10h01.57.254,Stroop task,,2025.1.1,60.01269868592645,2025-08-26 10h02.01.280553 +0530,
BLUE,red,I,r,12,0,3,r,1,0.6814038999727927,None,3,0,12,2,12.836169000016525,,,,,12.82359699998051,12.836169000016525,13.336331000027712,13.336331000027712,13.336331000027712,14.02506940002786,r,1,0.6814038999727927,None,,,,,4,001,2025-08-26_10h01.57.254,Stroop task,,2025.1.1,60.01269868592645,2025-08-26 10h02.01.280553 +0530,
BLUE,blue,C,b,13,1,3,b,1,0.3558521999511868,None,3,1,13,3,14.03647330001695,,,,,14.02566119999392,14.03647330001695,14.536327000008896,14.536327000008896,14.536327000008896,14.905509700009134,b,1,0.3558521999511868,None,,,,,4,001,2025-08-26_10h01.57.254,Stroop task,,2025.1.1,60.01269868592645,2025-08-26 10h02.01.280553 +0530,
RED,blue,I,b,14,2,3,b,1,0.4048187999869697,None,3,2,14,1,14.919431900023483,,,,,14.909237799991388,14.919431900023483,15.419497099996079,15.419497099996079,15.419497099996079,15.840621999988798,b,1,0.4048187999869697,None,,,,,4,001,2025-08-26_10h01.57.254,Stroop task,,2025.1.1,60.01269868592645,2025-08-26 10h02.01.280553 +0530,
RED,red,C,r,15,3,3,r,1,0.30317520000971854,None,3,3,15,0,15.852652699977625,,,,,15.841376999975182,15.852652699977625,16.353444100008346,16.353444100008346,16.353444100008346,16.660117599996738,r,1,0.30317520000971854,None,,,,,4,001,2025-08-26_10h01.57.254,Stroop task,,2025.1.1,60.01269868592645,2025-08-26 10h02.01.280553 +0530,
RED,red,C,r,16,0,4,b,0,0.41216020000865683,None,4,0,16,0,16.669696299999487,,,,,16.66097800002899,16.669696299999487,17.16968380002072,17.16968380002072,17.16968380002072,17.588030299986713,b,0,0.41216020000865683,None,,,,,4,001,2025-08-26_10h01.57.254,Stroop task,,2025.1.1,60.01269868592645,2025-08-26 10h02.01.280553 +0530,
RED,blue,I,b,17,1,4,b,1,0.6062717000022531,None,4,1,17,1,17.60225390002597,,,,,17.588409600022715,17.60225390002597,18.103224300022703,18.103224300022703,18.103224300022703,18.72588209999958,b,1,0.6062717000022531,None,,,,,4,001,2025-08-26_10h01.57.254,Stroop task,,2025.1.1,60.01269868592645,2025-08-26 10h02.01.280553 +0530,
BLUE,blue,C,b,18,2,4,b,1,0.5406857000198215,None,4,2,18,3,18.73603650002042,,,,,18.730707700015046,18.73603650002042,19.23623320000479,19.23623320000479,19.23623320000479,19.792287199990824,b,1,0.5406857000198215,None,,,,,4,001,2025-08-26_10h01.57.254,Stroop task,,2025.1.1,60.01269868592645,2025-08-26 10h02.01.280553 +0530,
BLUE,red,I,r,19,3,4,r,1,0.4281131000025198,None,4,3,19,2,19.804261600016616,,,,,19.793054400011897,19.804261600016616,20.302811399975326,20.302811399975326,20.302811399975326,20.740411999984644,r,1,0.4281131000025198,None,,,,,4,001,2025-08-26_10h01.57.254,Stroop task,,2025.1.1,60.01269868592645,2025-08-26 10h02.01.280553 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.740549199981615,20.753435200022068,21.752819299988914,21.7401772000012,4,001,2025-08-26_10h01.57.254,Stroop task,,2025.1.1,60.01269868592645,2025-08-26 10h02.01.280553 +0530,
