word,colour,stim_condition,correct_res,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,thank_you_.started,text_3.started,text_3.stopped,thank_you_.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,0.022364099975675344,0.036920799990184605,1.009859299985692,,,,,,,,,,,,,,,4,001,2025-08-26_10h01.57.254,Stroop task,,2025.1.1,60.01269868592645,2025-08-26 10h02.01.280553 +0530,
RED,blue,I,b,0,0,0,r,0,0.666872899979353,None,0,0,0,1,1.0518879999872297,,,,,1.0333759000059217,1.0518879999872297,1.5024956000270322,1.5024956000270322,1.5024956000270322,2.182104400009848,r,0,0.666872899979353,None,,,,,4,001,2025-08-26_10h01.57.254,Stroop task,,2025.1.1,60.01269868592645,2025-08-26 10h02.01.280553 +0530,
RED,red,C,r,1,1,0,r,1,0.5413705999962986,None,0,1,1,0,2.202344199991785,,,,,2.1829407999757677,2.202344199991785,2.686196100024972,2.686196100024972,2.686196100024972,3.240852700022515,r,1,0.5413705999962986,None,,,,,4,001,2025-08-26_10h01.57.254,Stroop task,,2025.1.1,60.01269868592645,2025-08-26 10h02.01.280553 +0530,
BLUE,blue,C,b,2,2,0,b,1,0.4043000999954529,None,0,2,2,3,3.252531000005547,,,,,3.246991000021808,3.252531000005547,3.7528699000249617,3.7528699000249617,3.7528699000249617,4.172589100024197,b,1,0.4043000999954529,None,,,,,4,001,2025-08-26_10h01.57.254,Stroop task,,2025.1.1,60.01269868592645,2025-08-26 10h02.01.280553 +0530,
BLUE,red,I,r,3,3,0,r,1,0.5718899000203237,None,0,3,3,2,4.186325800023042,,,,,4.1729336000280455,4.186325800023042,4.6863544000079855,4.6863544000079855,4.6863544000079855,5.275069200026337,r,1,0.5718899000203237,None,,,,,4,001,2025-08-26_10h01.57.254,Stroop task,,2025.1.1,60.01269868592645,2025-08-26 10h02.01.280553 +0530,
RED,red,C,r,4,0,1,r,1,0.43528999999398366,None,1,0,4,0,5.286046899971552,,,,,5.278377000009641,5.286046899971552,5.786019499995746,5.786019499995746,5.786019499995746,6.223714900028426,r,1,0.43528999999398366,None,,,,,4,001,2025-08-26_10h01.57.254,Stroop task,,2025.1.1,60.01269868592645,2025-08-26 10h02.01.280553 +0530,
RED,blue,I,b,5,1,1,b,1,0.4297161999857053,None,1,1,5,1,6.236970799975097,,,,,6.224510099971667,6.236970799975097,6.736258400022052,6.736258400022052,6.736258400022052,7.172204200003762,b,1,0.4297161999857053,None,,,,,4,001,2025-08-26_10h01.57.254,Stroop task,,2025.1.1,60.01269868592645,2025-08-26 10h02.01.280553 +0530,
BLUE,blue,C,b,6,2,1,b,1,0.3719923999742605,None,1,2,6,3,7.185997600026894,,,,,7.174289499991573,7.185997600026894,7.686588599986862,7.686588599986862,7.686588599986862,8.072863399982452,b,1,0.3719923999742605,None,,,,,4,001,2025-08-26_10h01.57.254,Stroop task,,2025.1.1,60.01269868592645,2025-08-26 10h02.01.280553 +0530,
BLUE,red,I,r,7,3,1,r,1,0.30837959999917075,None,1,3,7,2,8.086370999983046,,,,,8.073414199985564,8.086370999983046,8.586878600006457,8.586878600006457,8.586878600006457,8.905474799976218,r,1,0.30837959999917075,None,,,,,4,001,2025-08-26_10h01.57.254,Stroop task,,2025.1.1,60.01269868592645,2025-08-26 10h02.01.280553 +0530,
RED,blue,I,b,8,0,2,b,1,0.33147139998618513,None,2,0,8,1,8.919641599990427,,,,,8.907610499998555,8.919641599990427,9.420037099975161,9.420037099975161,9.420037099975161,9.757461700006388,b,1,0.33147139998618513,None,,,,,4,001,2025-08-26_10h01.57.254,Stroop task,,2025.1.1,60.01269868592645,2025-08-26 10h02.01.280553 +0530,
